admin2Pcod,road_length
BJ0101,806164.6326899672
BJ0102,299739.9881403679
BJ0103,491702.56782465085
BJ0104,657628.659620655
BJ0105,539350.017943241
BJ0106,718542.5853557688
BJ0202,429010.021056387
BJ0203,393414.94858692674
BJ0204,530382.5850507513
BJ0205,251530.68574572416
BJ0206,383600.9615561017
BJ0207,434516.09868746967
BJ0208,674333.4814064221
BJ0302,119911.81580998251
BJ0303,230606.29891468113
BJ0304,153370.9087139898
BJ0306,109689.44494870608
BJ0308,136151.50601731075
BJ0401,471424.3693073612
BJ0402,573243.5150396117
BJ0404,853896.6094408734
BJ0405,98020.08220224755
BJ0406,625075.8040025514
BJ0407,292062.3818814438
BJ0408,725799.0016918195
BJ0501,523359.2701117243
BJ0503,306358.41869252344
BJ0504,491016.4722688953
BJ0505,716306.5490739772
BJ0506,324207.92743575014
BJ0601,260124.29750889333
BJ0604,139853.43073443876
BJ0605,50229.41457923316
BJ0606,41364.34306561194
BJ0701,539547.8613276695
BJ0702,537330.5687928632
BJ0704,116599.92497398438
BJ0800,521878.4946250091
BJ0901,75445.56744127351
BJ0902,73327.33308006964
BJ0903,158353.926065766
BJ0905,135023.42889054323
BJ0906,56301.90047243387
BJ1002,60780.50775504095
BJ1005,39884.79207097072
BJ1006,40298.353021558476
BJ1007,20420.782566807247
BJ1102,54615.37682643081
BJ1103,327088.87221844564
BJ1104,126729.53335348627
BJ1105,102631.69702605548
BJ1201,96887.00781484495
BJ1202,115387.91760757497
BJ1203,93335.05159864703
BJ1204,68190.92054440448
BJ1205,375665.43234263256
BJ1206,90810.21472331714
BJ1209,214746.76730434925
BJ1003,627.5778799461533
BJ0201,427252.39363699156
BJ0209,210875.34218753668
BJ0301,233883.36752970703
BJ0305,5348.045157686158
BJ0307,83178.84992315224
BJ0403,363364.0669716292
BJ0502,442017.9392210633
BJ0602,46225.15557426525
BJ0603,69765.09000711257
BJ0703,194407.08941019667
BJ0904,172127.77563288706
BJ1004,39568.6881355735
BJ1008,173694.8110102018
BJ1009,252514.4734523775
BJ1101,115422.87853437387
BJ1207,110143.54346966663
BJ1208,122094.52198438578
